member_id,chapter_id,chapter_name,name_ja,name_en,company,company_url,position,role_in_eo,role_detail,data_source,notes
1,1,EO Hokkaido,岡田吉伸,Yoshinobu Okada,株式会社創伸建設,,代表取締役,会長,第4期会長,公式サイト,
2,1,EO Hokkaido,北川健太郎,Kentaro Kitagawa,株式会社E-Grant,,代表取締役,副会長・ファイナンス理事,,公式サイト,
3,1,EO Hokkaido,石水創,Hajime Ishimizu,石屋製菓株式会社,,代表取締役,ガバナンス理事,,公式サイト,白い恋人で有名
4,1,EO Hokkaido,菊地大輝,Daiki Kikuchi,株式会社菊地,,代表取締役,メンバーシップ理事,,公式サイト,
5,1,EO Hokkaido,浅井亮介,Ryosuke Asai,株式会社インサイト,,代表取締役,メンバーエンゲージメント理事,,公式サイト,
6,1,EO Hokkaido,前田章博,Akihiro Maeda,ビットスター株式会社,,代表取締役,ラーニング理事,,公式サイト,
7,1,EO Hokkaido,武石幸之助,Konosuke Takeishi,株式会社ワンオブゼム,,代表取締役,ラーニング理事,,公式サイト,
8,1,EO Hokkaido,青山裕亮,Yusuke Aoyama,東北土建株式会社,,代表取締役,フォーラム理事,,公式サイト,
9,1,EO Hokkaido,安西勇輔,Yusuke Anzai,株式会社Lim,,代表取締役,マーケティング＆コミュニケーション理事,,公式サイト,
10,1,EO Hokkaido,駒谷僚,Ryo Komatani,株式会社鈴木商会,,代表取締役,MyEO理事,,公式サイト,
11,1,EO Hokkaido,入澤拓也,Takuya Irisawa,エコモット株式会社,,代表取締役,起業家支援統括理事,,公式サイト,
12,1,EO Hokkaido,杉目茂雄,Shigeo Sugime,札樽観光株式会社,,代表取締役,インキュベーション理事,,公式サイト,
13,1,EO Hokkaido,及川厚博,Atsuhiro Oikawa,株式会社M&Aクラウド,,代表取締役,EGG理事,,公式サイト,
14,1,EO Hokkaido,西沢亮一,Ryoichi Nishizawa,株式会社ネオキャリア,,代表取締役,初代会長,歴代会長,プレスリリース,北海道中標津町出身
15,1,EO Hokkaido,富山浩樹,Hiroki Tomiyama,サツドラホールディングス株式会社,,代表取締役社長,第2期会長,歴代会長,プレスリリース,
16,2,EO North Japan,齊藤良太,Ryota Saito,,,,,EO Japan Region Finance Director,,EO Japan Region,
17,3,EO Ibaraki,堀義人,Yoshito Hori,グロービス経営大学院,,学長・代表,初代会長,,プレスリリース,1995年にEO Japanをアジア初で設立
18,3,EO Ibaraki,金子達,Tatsu Kaneko,金子金物株式会社,,代表取締役,第3期会長,,公式サイト,
19,4,EO Tokyo Central,山木智史,Tomofumi Yamaki,株式会社Re-grit Partners,,代表取締役社長 兼 CEO,第30期会長,,公式サイト,
